Guarantee Number,Transaction Report ID,Guarantee Country Name,Amount (USD),Currency Name,End Date,Business Sector,City/Town,State/Province/Region Name,State/Province/Region Code,State/Province/Region Country Name,Region Name,Latitude,Longitude,Is Woman Owned?,Is First Time Borrower?,Business Size
674-DCA-11-016,515816,South Africa,54049.3222,SOUTH AFRICA - RAND,7/31/2020,Trade/Commerce,Johannesburg,Gauteng,SF06,South Africa,AFRICA,-26.205171,28.049815,0,1,1--5
674-DCA-11-016,514613,South Africa,204148.2933,SOUTH AFRICA - RAND,10/30/2019,Information & Communication Technologies,Pretoria,Gauteng,SF06,South Africa,AFRICA,-25.706944,28.229444,1,1,6--10
674-DCA-11-016,514609,South Africa,38886.1669,SOUTH AFRICA - RAND,8/30/2018,Agriculture,Robertson,Western Cape,SF11,South Africa,AFRICA,-33.803418,19.885374,0,1,1--5
674-DCA-11-016,514608,South Africa,26947.5747,SOUTH AFRICA - RAND,8/30/2020,Other Service,Robertson,,,,,,,1,1,1--5
674-DCA-11-016,515814,South Africa,20414.8293,SOUTH AFRICA - RAND,8/31/2020,Other Service,Durban,KwaZulu-Natal,SF02,South Africa,AFRICA,-29.857896,31.029198,0,1,6--10
674-DCA-11-016,519349,South Africa,122488.976,SOUTH AFRICA - RAND,10/1/2020,Other Service,Bellville,Western Cape,SF11,South Africa,AFRICA,-33.900219,18.628468,0,1,11--50
674-DCA-11-016,516209,South Africa,54202.5005,SOUTH AFRICA - RAND,10/1/2020,Trade/Commerce,Fishhoek,Western Cape,SF11,South Africa,AFRICA,-34.155595,18.876779,1,1,1--5
674-DCA-11-016,515817,South Africa,57816.0006,SOUTH AFRICA - RAND,10/5/2020,Other Service,Rustenburg,North-West,SF10,South Africa,AFRICA,-25.667562,27.242079,1,1,1--5
674-DCA-11-016,515815,South Africa,0.1191,SOUTH AFRICA - RAND,10/9/2020,Other Service,N1 City,,,,,,,0,1,6--10
674-DCA-11-016,516208,South Africa,25294.5003,SOUTH AFRICA - RAND,10/9/2020,Other Service,Helderberg,Western Cape,SF11,South Africa,AFRICA,-34.030479,18.831133,0,1,1--5
674-DCA-11-016,516210,South Africa,198742.502,SOUTH AFRICA - RAND,10/1/2020,Trade/Commerce,Cape Town,Western Cape,SF11,South Africa,AFRICA,-33.925839,18.423218,0,1,11--50
674-DCA-11-016,516211,South Africa,205969.5021,SOUTH AFRICA - RAND,10/1/2020,Agriculture,Newtondale,Eastern Cape,SF05,South Africa,AFRICA,-33.342195,27.067087,0,1,6--10
112-DCA-10-01A,311210,Azerbaijan,20000,UNITED STATES - DOLLAR,10/11/2012,Agriculture,Ganja,Ganca,AJ20,Azerbaijan,EUROPE & EURASIA,,,0,0,1--5
112-DCA-10-01A,311209,Azerbaijan,50000,UNITED STATES - DOLLAR,10/21/2013,Agriculture,Baku,Baki,AJ09,Azerbaijan,EUROPE & EURASIA,40.395278,49.882222,0,1,1--5
112-DCA-10-01A,311211,Azerbaijan,100000,UNITED STATES - DOLLAR,11/10/2014,Agriculture,Khachmaz,Xacmaz,AJ60,Azerbaijan,EUROPE & EURASIA,41.463489,48.80605,0,0,11--50
112-DCA-10-01A,311212,Azerbaijan,40000,UNITED STATES - DOLLAR,11/12/2012,Agriculture,Quba,Quba,AJ42,Azerbaijan,EUROPE & EURASIA,41.362587,48.515186,0,0,6--10
112-DCA-10-01A,312465,Azerbaijan,30000,UNITED STATES - DOLLAR,1/1/2014,Agriculture,,,,,,,,0,1,1--5
112-DCA-10-01A,313277,Azerbaijan,200000,UNITED STATES - DOLLAR,2/14/2014,Agriculture,Agdash,Calilabad,AJ15,Azerbaijan,EUROPE & EURASIA,39.084722,48.501111,0,0,11--50
112-DCA-10-01A,313693,Azerbaijan,200000,UNITED STATES - DOLLAR,3/17/2014,Agriculture,Salyan,Salyan,AJ49,Azerbaijan,EUROPE & EURASIA,39.593615,48.980552,0,0,>100
112-DCA-10-01A,324635,Azerbaijan,30000,UNITED STATES - DOLLAR,5/27/2013,Agriculture,Baku,Baki,AJ09,Azerbaijan,EUROPE & EURASIA,40.395278,49.882222,0,0,1--5
112-DCA-10-01A,325591,Azerbaijan,200000,UNITED STATES - DOLLAR,7/7/2014,Agriculture,,,,,,,,0,1,11--50
112-DCA-10-01A,325592,Azerbaijan,59000,UNITED STATES - DOLLAR,6/30/2014,Agriculture,Baku,Baki,AJ09,Azerbaijan,EUROPE & EURASIA,40.395278,49.882222,0,0,1--5
112-DCA-10-01A,325590,Azerbaijan,30000,UNITED STATES - DOLLAR,7/15/2014,Agriculture,Salyan,Salyan,AJ49,Azerbaijan,EUROPE & EURASIA,39.593615,48.980552,0,1,11--50
112-DCA-10-01A,325755,Azerbaijan,70000,UNITED STATES - DOLLAR,7/18/2014,Agriculture,Baku,Baki,AJ09,Azerbaijan,EUROPE & EURASIA,40.395278,49.882222,0,1,11--50
112-DCA-10-01A,350691,Azerbaijan,22000,UNITED STATES - DOLLAR,4/17/2014,Agriculture,Salyan,Salyan,AJ49,Azerbaijan,EUROPE & EURASIA,39.593615,48.980552,0,0,1--5
112-DCA-10-01A,339326,Azerbaijan,100000,UNITED STATES - DOLLAR,8/19/2014,Agriculture,Baku,Baki,AJ09,Azerbaijan,EUROPE & EURASIA,40.395278,49.882222,0,0,11--50
112-DCA-10-01A,350692,Azerbaijan,20000,UNITED STATES - DOLLAR,2/20/2015,Agriculture,,,,,,,,0,0,1--5
112-DCA-10-01A,357628,Azerbaijan,60000,UNITED STATES - DOLLAR,5/1/2015,Agriculture,Baki,Baki,AJ09,Azerbaijan,EUROPE & EURASIA,40.395278,49.882222,0,0,1--5
112-DCA-10-01A,361894,Azerbaijan,26500,UNITED STATES - DOLLAR,5/23/2014,Agriculture,Aranli,Imisli,AJ24,Azerbaijan,EUROPE & EURASIA,,,0,0,1--5
